#pick list,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
1,25300AT300,1495638U1A,1229631U20,226804M511,11955JA10D,H05614FN0A,2530062J0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34935EB70A,654703TS0B,654713TS0B,K34704JAMA,D65005EK1A,55046EB70C,55047EB70C,K85811HJ0B,22401ED815,658222LR0A,135101KC1A,224015M015,73940JR00A,237311HC1A,905034JG0C,1321053Y00,905024JG0C,15066EN200,1320700Q0A,65829JG00A,73943JR00A,73943JR05A,546184M400,150666N204,67840EB70A,656013VV1B,B55543BG9A,65722EN00A,110441VA0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34935EB70A,990984JA2B,K34704JAMA,G2G1689900,212009HP0A,224011KC1C,135101KC1A,480803RH1A,306105X01D,112102Y00E,11955JA10D,4113901A6B,4113901A01,828924JD0A,1351050B10,015540007U,284B71HZ6A,224481KC0A,D11201HJ0A,B1010JK00C,49717EB700,4971752YB0,112702Y01C,22401JD01B,788213SB0A,233002Y900B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B3G314M50B,622243VA0B,170444M405,215064M400,215064M400,788164JD0A,165576N200,K15533VA0A,248208M400,119271HC0D,122300231,48080EM11C,1327631U1A,113204JL2A,806441HH1C,365308M610B,788173BG0A,H05613AA0A,248355S510,119281HC0B,118100M300,11926EB32A,1734201A00,282151FC0B,H05611HH4A,289207Y000,551202Y000,3137541X01,25280VW000,1181241B00,253809Y000,402103XA0A,638544CE0A,113208Y101,112708J10A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,990984JA2B,113503TS0B,D86401AA1A,224485EK0A,315263VX0A,215064M400,C9G41ET000,D85201AA1A,54034EB70A,441003HA0B,12313EB70A,226A0JA10C,826461HH0A,24382JR03A,1228900QAD,21507AU400,11298EN000,54368JP00C,11298EN013,43222AX000,251531HA0A,479501HA0A,284B71TT0C,21506AX600,11298JA00B,11044EN20B,963661KA0A,68760JN00A,804303TS0A,878244JA1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,140351HC0A,654703TS0B,654713TS0B,54618CY00A,224488J11C,16600EN200,1518969F00,206068H30A,1734279900,1734279900,546133UB0A,487001HH2B,480805KA2A,284B2EB71B,161751HC5A,622954JA0A,14956EB70B,132712J201,D4M609N00B,271503VE0A,546133RA0C,261604BA0A,288951KA1A,28920JA00A,14665VK53A,D1ABM91P25,963193RA0A,65722ED01A,44100VK00A,22320EC01A,1724050Y00,1181041B02,32277CD001,118261HC0C,828924CA1B,250701MC0A,F63254JAMA,1181241B00,32276CD001,237311VA0A,253801AA0A,540344MA0A,79916D1000XX,402023RA1B,40202ZM70A,622985JZ0A,210106N226,392113RA1A,32006CD10B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,166003TA0A,96366EB71A,806441HH1C,285356725R,479001HA0A,49717VK300B,44100ET000,49725VK103B,80644EE05A,491762W200,49726EB710,B55543BG8A,622565JS0A,140353TS0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,622253BG0A,622243BG0A,155309321,622A07W80H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,132708H301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,432524JA0A,430854JA0A,284385HK5A,271503VE0A,480701AA0A,46271EB310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D86401AA1A,166003TA0A,D8521JA00A,D85201AA1A,62074JN00B,240154JA0D,540502Y001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
